region,Date,Effectif de la population,Population rurale,Population urbaine,Taux d'urbanisation
Louga,2014,898732.0,698315.0,200417.0,22.299973740781496
Louga,2015,924050.0,715214.0,208836.0,22.6000757534765
Louga,2016,950102.0,732529.0,217573.0,22.8999623198351
Louga,2017,976885.0,751225.0,225660.0,23.0999554707054
Louga,2018,1004401.0,769371.0,235030.0,23.4000165272635
Matam,2002,423041.0,364027.0,59014.0,13.9499481
Matam,2003,441371.0,380461.802,60909.198,13.8
Matam,2004,461836.0,397616.0,64220.0,13.905369
Matam,2005,478573.0,412121.0,66452.0,13.885446900000002
Matam,2006,496207.0,427404.0,68803.0,13.8657859
Matam,2007,492031.0,423875.8093165,68155.1906835,13.851808300000002
Matam,2008,510566.0,424189.0,86377.0,16.917891100000002
Matam,2009,524942.0,436129.0,88813.0,16.918631
Matam,2010,542201.0,450465.0,91736.0,16.92
Matam,2013,562539.0,442755.0,119784.0,21.2934569869822
Matam,2014,584524.0,450668.0,133856.0,22.900000684317497
Matam,2015,607229.0,463923.0,143306.0,23.599992753969303
Matam,2016,630703.0,476811.0,153892.0,24.4000742029133
Matam,2017,654981.0,489926.0,165055.0,25.199967632648896
Matam,2018,680086.0,503944.0,176142.0,25.899959710977697
Saint Louis,1970,452646.3561455,358408.65535250003,94237.700793,20.8192775
Saint Louis,1971,463962.51504920004,365484.1177205,98478.3973287,21.2255073
Saint Louis,1972,475561.57792540005,372651.6527169,102909.9252084,21.6396635
Saint Louis,1973,487450.61737349996,379909.7455307,107540.8718428,22.0619008
Saint Louis,1974,499636.8828079,387256.67173209996,112380.21107580002,22.492376999999998
Saint Louis,1975,512127.804878,394690.4843039,117437.32057419998,22.9312526
Saint Louis,1976,524931.0,402209.0,122722.0,23.378691699999997
Saint Louis,1977,535403.898381,408681.529347,126722.36903399999,23.6685555
Saint Louis,1978,546085.7415576,415232.6034602,130853.13809739999,23.9620133
Saint Louis,1979,556980.6981874,421862.1403475,135118.55784000002,24.259109600000002
Saint Louis,1980,568093.0200970001,428570.0026271,139523.0174699,24.559889399999996
Saint Louis,1981,579427.0439409,435355.99467059993,144071.0492703,24.8643985
Saint Louis,1982,590987.1928946,442219.85963120003,148767.33326339998,25.1726831
Saint Louis,1983,602777.97838,449161.2763542,153616.70202579998,25.48479
Saint Louis,1984,614804.0018266999,456179.8561649,158624.14566170002,25.800766600000003
Saint Louis,1985,627069.9564671,463275.13952930004,163794.8169379,26.1206609
Saint Louis,1986,639580.6291686,470446.592583,169134.0365856,26.4445214
Saint Louis,1987,652340.9023011,477693.603525,174647.2987762,26.7723974
Saint Louis,1988,665353.0,485014.0,180339.0,27.104258899999998
Saint Louis,1989,679342.712178,493175.516376,186167.195802,27.4040175
Saint Louis,1990,693598.7189931,490352.66129440005,203246.05769870002,29.303119
Saint Louis,1991,708098.4002136,498248.1904488,209850.20976479998,29.6357413
Saint Louis,1992,722730.5455556,506095.29819420003,216635.2473615,29.974552600000003
Saint Louis,1993,737534.9580508,513917.5820185,223617.3760323,30.319563
Saint Louis,1994,752545.269517,521734.42326999997,230810.84624699998,30.670692600000002
Saint Louis,1995,767861.0708422,529618.9705172,238242.10032509998,31.026719500000002
Saint Louis,1996,779051.0,501513.4989544001,277537.5010456,35.625074700000006
Saint Louis,1997,794630.0,508539.8551445,286090.14485549997,36.0029378
Saint Louis,1998,810403.0,515515.84584049997,294887.1541595,36.3877175
Saint Louis,1999,826343.0,522416.0326366,303926.96736340004,36.779759399999996
Saint Louis,2000,842409.0,529206.4023502,261289.0,31.0168813
Saint Louis,2001,858573.0,589184.0,269389.0,31.3763652
Saint Louis,2002,688767.0,437045.0,251722.0,36.5467567
Saint Louis,2003,703699.0,449663.661,254035.33899999998,36.1
Saint Louis,2004,738724.0,468181.0,270543.0,36.6230148
Saint Louis,2005,764347.0,486346.0,278001.0,36.3710461
Saint Louis,2006,788006.0,503391.0,284615.0,36.11837979999999
Saint Louis,2007,809813.0,512811.1268333,297001.8731667,36.675365
Saint Louis,2008,840844.0,474270.0,366574.0,43.5959583
Saint Louis,2009,865058.0,487923.0,377135.0,43.596498700000005
Saint Louis,2010,894000.0,504242.0,389758.0,43.6
Saint Louis,2013,908942.0,496905.0,412037.0,45.331495298929994
Saint Louis,2014,932876.0,500954.0,431922.0,46.3000441644977
Saint Louis,2015,957602.0,508486.0,449116.0,46.9000691310168
Saint Louis,2016,983032.0,516091.0,466941.0,47.5000813808706
Saint Louis,2017,1009170.0,523759.0,485411.0,48.100022791006495
Saint Louis,2018,1036009.0,531473.0,504536.0,48.6999630312092
Sedhiou,2008,406785.0,343455.0,63330.0,15.568420699999999
Sedhiou,2009,417812.0,352766.0,65046.0,15.568245999999998
Sedhiou,2010,431238.0,364102.0,67136.0,15.57
Sedhiou,2013,452994.0,365980.0,87014.0,19.208642940083102
Sedhiou,2014,468098.0,372138.0,95960.0,20.499980773256897
Sedhiou,2015,483768.0,382177.0,101591.0,20.9999421210167
Sedhiou,2016,500064.0,393051.0,107013.0,21.399860817815302
Sedhiou,2017,517016.0,403790.0,113226.0,21.899902517523604
Sedhiou,2018,534655.0,414893.0,119762.0,22.399865333719898
