region,Date,Effectif de la population,Population rurale,Population urbaine,Taux d'urbanisation,Nombre de ménages ruraux,Nombre de ménages urbains,Taille moyenne des ménages,Taille moyenne des ménages ruraux,Taille moyenne des ménages urbains,Superficie Perdue,risque déforestation
Thies,1981,786992.6071306998,543444.5034322,243548.1036985,30.9466825,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1982,808246.1294789,554836.0324173,253410.0970615,31.3530851,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1983,830073.6244516,566402.1923297,263671.4321218,31.764824800000003,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1984,852490.5927535,578142.3133306999,274348.27942279994,32.1819715,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1985,875512.9537014,590055.4894,285457.4643014001,32.6045963,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1986,899157.0565291,602140.5631257,297016.4934034001,33.0327712,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1987,923439.6919977,614396.1097269,309043.5822708,33.4665691,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1988,948378.0,626818.0,321560.0,33.9063116,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1989,975229.426314,640546.241154,334683.18516,34.31840510000001,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1990,1002837.1961435,643110.1636797,359727.0324638,35.8709304,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1991,1031183.3923297,657019.0881202,374164.3042095,36.2849428,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1992,1060119.4295019002,671071.8816616,389047.5478402,36.6984641,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1993,1089712.6633764,685302.3613051999,404410.3020712,37.1116456,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
